SampleName,SampleID,SampleDescription
P2254_101,A-P56-1,Pine ecotype 56 (latitude) - light condition A - replicate 1
P2254_102,A-P56-2,Pine ecotype 56 (latitude) - light condition A - replicate 2
P2254_103,A-P56-3,Pine ecotype 56 (latitude) - light condition A - replicate 3
P2254_110,A-P67-1,Pine ecotype 67 (latitude) - light condition A - replicate 1
P2254_111,A-P67-2,Pine ecotype 67 (latitude) - light condition A - replicate 2
P2254_112,A-P67-3,Pine ecotype 67 (latitude) - light condition A - replicate 3
P2254_113,B-P56-1,Pine ecotype 56 (latitude) - light condition B - replicate 1
P2254_114,B-P56-2,Pine ecotype 56 (latitude) - light condition B - replicate 2
P2254_115,B-P56-3,Pine ecotype 56 (latitude) - light condition B - replicate 3
P2254_122,B-P67-1,Pine ecotype 67 (latitude) - light condition B - replicate 1
P2254_123,B-P67-2,Pine ecotype 67 (latitude) - light condition B - replicate 2
P2254_126,D-P56-2,Pine ecotype 56 (latitude) - light condition D - replicate 2
P2254_127,D-P56-3,Pine ecotype 56 (latitude) - light condition D - replicate 3
P2254_134,D-P67-1,Pine ecotype 67 (latitude) - light condition D - replicate 1
P2254_135,D-P67-2,Pine ecotype 67 (latitude) - light condition D - replicate 2
P2254_136,D-P67-3,Pine ecotype 67 (latitude) - light condition D - replicate 3
P3462_101,B-P67-4,Pine ecotype 67 (latitude) - light condition B - replicate 4
P3462_102,D-P56-4,Pine ecotype 56 (latitude) - light condition D - replicate 4
