SampleName	SampleID	EcotypeLatitude	LightCondition	Replicate	Filenames
P2254_101	A-P56-1	P56	A	1	/mnt/picea/home/fai/git/spruce-pine-light/analysis/pine/nfcoreResult/salmon/A-P56-1/quant.sf
P2254_102	A-P56-2	P56	A	2	/mnt/picea/home/fai/git/spruce-pine-light/analysis/pine/nfcoreResult/salmon/A-P56-2/quant.sf
P2254_103	A-P56-3	P56	A	3	/mnt/picea/home/fai/git/spruce-pine-light/analysis/pine/nfcoreResult/salmon/A-P56-3/quant.sf
P2254_110	A-P67-1	P67	A	1	/mnt/picea/home/fai/git/spruce-pine-light/analysis/pine/nfcoreResult/salmon/A-P67-1/quant.sf
P2254_111	A-P67-2	P67	A	2	/mnt/picea/home/fai/git/spruce-pine-light/analysis/pine/nfcoreResult/salmon/A-P67-2/quant.sf
P2254_112	A-P67-3	P67	A	3	/mnt/picea/home/fai/git/spruce-pine-light/analysis/pine/nfcoreResult/salmon/A-P67-3/quant.sf
P2254_113	B-P56-1	P56	B	1	/mnt/picea/home/fai/git/spruce-pine-light/analysis/pine/nfcoreResult/salmon/B-P56-1/quant.sf
P2254_114	B-P56-2	P56	B	2	/mnt/picea/home/fai/git/spruce-pine-light/analysis/pine/nfcoreResult/salmon/B-P56-2/quant.sf
P2254_115	B-P56-3	P56	B	3	/mnt/picea/home/fai/git/spruce-pine-light/analysis/pine/nfcoreResult/salmon/B-P56-3/quant.sf
P2254_122	B-P67-1	P67	B	1	/mnt/picea/home/fai/git/spruce-pine-light/analysis/pine/nfcoreResult/salmon/B-P67-1/quant.sf
P2254_123	B-P67-2	P67	B	2	/mnt/picea/home/fai/git/spruce-pine-light/analysis/pine/nfcoreResult/salmon/B-P67-2/quant.sf
P2254_126	D-P56-2	P56	D	2	/mnt/picea/home/fai/git/spruce-pine-light/analysis/pine/nfcoreResult/salmon/D-P56-2/quant.sf
P2254_127	D-P56-3	P56	D	3	/mnt/picea/home/fai/git/spruce-pine-light/analysis/pine/nfcoreResult/salmon/D-P56-3/quant.sf
P2254_134	D-P67-1	P67	D	1	/mnt/picea/home/fai/git/spruce-pine-light/analysis/pine/nfcoreResult/salmon/D-P67-1/quant.sf
P2254_135	D-P67-2	P67	D	2	/mnt/picea/home/fai/git/spruce-pine-light/analysis/pine/nfcoreResult/salmon/D-P67-2/quant.sf
P2254_136	D-P67-3	P67	D	3	/mnt/picea/home/fai/git/spruce-pine-light/analysis/pine/nfcoreResult/salmon/D-P67-3/quant.sf
P3462_101	B-P67-4	P67	B	4	/mnt/picea/home/fai/git/spruce-pine-light/analysis/pine/nfcoreResult/salmon/B-P67-4/quant.sf
P3462_102	D-P56-4	P56	D	4	/mnt/picea/home/fai/git/spruce-pine-light/analysis/pine/nfcoreResult/salmon/D-P56-4/quant.sf
