SampleName	SampleID	EcotypeLatitude	LightCondition	Replicate	Filenames
P2254_138	A-S56-2	S56	A	2	/mnt/picea/home/fai/git/spruce-pine-light/analysis/spruce/nfcoreResult/salmon/A-S56-2/quant.sf
P2254_146	A-S67-1	S67	A	1	/mnt/picea/home/fai/git/spruce-pine-light/analysis/spruce/nfcoreResult/salmon/A-S67-1/quant.sf
P2254_148	A-S67-3	S67	A	3	/mnt/picea/home/fai/git/spruce-pine-light/analysis/spruce/nfcoreResult/salmon/A-S67-3/quant.sf
P2254_159	B-S67-2	S67	B	2	/mnt/picea/home/fai/git/spruce-pine-light/analysis/spruce/nfcoreResult/salmon/B-S67-2/quant.sf
P2254_160	B-S67-3	S67	B	3	/mnt/picea/home/fai/git/spruce-pine-light/analysis/spruce/nfcoreResult/salmon/B-S67-3/quant.sf
P2254_161	D-S56-1	S56	D	1	/mnt/picea/home/fai/git/spruce-pine-light/analysis/spruce/nfcoreResult/salmon/D-S56-1/quant.sf
P2254_162	D-S56-2	S56	D	2	/mnt/picea/home/fai/git/spruce-pine-light/analysis/spruce/nfcoreResult/salmon/D-S56-2/quant.sf
P2254_163	D-S56-3	S56	D	3	/mnt/picea/home/fai/git/spruce-pine-light/analysis/spruce/nfcoreResult/salmon/D-S56-3/quant.sf
P2254_170	D-S67-1	S67	D	1	/mnt/picea/home/fai/git/spruce-pine-light/analysis/spruce/nfcoreResult/salmon/D-S67-1/quant.sf
P2254_171	D-S67-2	S67	D	2	/mnt/picea/home/fai/git/spruce-pine-light/analysis/spruce/nfcoreResult/salmon/D-S67-2/quant.sf
P3462_103	A-S56-4	S56	A	4	/mnt/picea/home/fai/git/spruce-pine-light/analysis/spruce/nfcoreResult/salmon/A-S56-4/quant.sf
P3462_104	A-S56-5	S56	A	5	/mnt/picea/home/fai/git/spruce-pine-light/analysis/spruce/nfcoreResult/salmon/A-S56-5/quant.sf
P3462_105	A-S67-4	S67	A	4	/mnt/picea/home/fai/git/spruce-pine-light/analysis/spruce/nfcoreResult/salmon/A-S67-4/quant.sf
P3462_106	B-S56-4	S56	B	4	/mnt/picea/home/fai/git/spruce-pine-light/analysis/spruce/nfcoreResult/salmon/B-S56-4/quant.sf
P3462_107	B-S56-5	S56	B	5	/mnt/picea/home/fai/git/spruce-pine-light/analysis/spruce/nfcoreResult/salmon/B-S56-5/quant.sf
P3462_108	B-S56-6	S56	B	6	/mnt/picea/home/fai/git/spruce-pine-light/analysis/spruce/nfcoreResult/salmon/B-S56-6/quant.sf
P3462_109	B-S67-4	S67	B	4	/mnt/picea/home/fai/git/spruce-pine-light/analysis/spruce/nfcoreResult/salmon/B-S67-4/quant.sf
P3462_110	D-S67-4	S67	D	4	/mnt/picea/home/fai/git/spruce-pine-light/analysis/spruce/nfcoreResult/salmon/D-S67-4/quant.sf
