Species,ID_pine,ID_spruce,GO,ID_arabidopsis,Gene name,Gene description,Expression,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Norway spruce,,MA_100207g0010,,AT2G34930.1,,disease resistance family protein / LRR family protein,SHADE>SUN,149.0870541,-1.039773084,0.289745883,-3.588568972,0.000332498,0.00808259
Scots pine ,PITA_000034657,MA_100207g0010,,AT2G34930.1,,disease resistance family protein / LRR family protein,SHADE<SUN,25.31346708,0.426514461,0.684384691,0.623208652,0.533147417,0.861219397
Norway spruce,,MA_10021g0010,,AT5G07040.1,,RING/U-box superfamily protein,SHADE>SUN,16.829086,-1.939863879,0.549680104,-3.529077847,0.00041701,0.009786633
Scots pine ,PITA_000055181,MA_10021g0010,,AT5G07040.1,,RING/U-box superfamily protein,SHADE>SUN,75.53351428,-0.502343533,0.205102449,-2.44923225,0.01431611,0.102777831
Scots pine ,PITA_000016359,MA_10021g0010,,AT5G07040.1,,RING/U-box superfamily protein,SHADE>SUN,60.26237008,-0.589058575,0.26110361,-2.256033826,0.024068513,0.151418719
Norway spruce,,MA_10041g0010,GO:0006270,AT3G51280.1,,Tetratricopeptide repeat (TPR)-like superfamily protein,SHADE<SUN,328.580746,0.988392361,0.273275653,3.61683286,0.00029823,0.00743725
Scots pine ,PITA_000014353,MA_10041g0010,GO:0006270,AT3G51280.1,,Tetratricopeptide repeat (TPR)-like superfamily protein,SHADE<SUN,278.1431163,0.010434658,0.326668826,0.031942618,0.974517812,0.996513055
Scots pine ,PITA_000035668,MA_10041g0010,GO:0006270,AT3G51280.1,,Tetratricopeptide repeat (TPR)-like superfamily protein,SHADE>SUN,198.3972712,-0.018225884,0.217683804,-0.083726413,0.933273956,0.988076642
Norway spruce,,MA_10051g0010,,AT1G67480.2,,Galactose oxidase/kelch repeat superfamily protein,SHADE>SUN,13.40461265,-2.012521391,0.522245566,-3.853592104,0.000116397,0.003524426
Scots pine ,PITA_000010430,MA_10051g0010,,AT1G67480.2,,Galactose oxidase/kelch repeat superfamily protein,SHADE<SUN,67.67672482,0.010063143,0.219741574,0.045795351,0.963473364,0.994301517
Scots pine ,PITA_000092483,MA_10051g0010,,AT1G67480.2,,Galactose oxidase/kelch repeat superfamily protein,SHADE<SUN,105.6198335,0.382108595,0.411585532,0.928381988,0.353209459,0.730532637
Scots pine ,PITA_000056846,MA_10051g0010,,AT1G67480.2,,Galactose oxidase/kelch repeat superfamily protein,SHADE>SUN,12.11573499,-1.132640266,0.856217238,-1.322842166,0.185887871,0.563648653
Norway spruce,,MA_100525g0010,,AT5G53730.1,,Late embryogenesis abundant (LEA) hydroxyproline-rich glycoprotein family,SHADE>SUN,74.79012078,-1.334678548,0.319281558,-4.180255689,2.91E-05,0.001113695
Scots pine ,PITA_000020940,MA_100525g0010,,AT5G53730.1,,Late embryogenesis abundant (LEA) hydroxyproline-rich glycoprotein family,SHADE<SUN,55.86031032,0.087357121,0.346117022,0.252391865,0.800738187,0.957752628
Norway spruce,,MA_10052798g0010,,AT4G27220.1,,NB-ARC domain-containing disease resistance protein,SHADE<SUN,244.8513618,1.517533271,0.365487964,4.152074537,3.29E-05,0.001232837
Scots pine ,PITA_000093230,MA_10052798g0010,,AT4G27220.1,,NB-ARC domain-containing disease resistance protein,SHADE<SUN,112.7797263,0.123026989,0.571450958,0.215288796,0.829542164,0.965908155
Scots pine ,PITA_000063427,MA_10052798g0010,,AT4G27220.1,,NB-ARC domain-containing disease resistance protein,SHADE<SUN,45.24055892,0.555680144,0.641802817,0.865811321,0.38659364,0.75698376
Norway spruce,,MA_10077950g0010,GO:0052689,AT3G03990.1,,alpha/beta-Hydrolases superfamily protein,SHADE>SUN,1025.24108,-1.609430745,0.368314706,-4.369716223,1.24E-05,0.000547052
Scots pine ,PITA_000041289,MA_10077950g0010,GO:0052689,AT3G03990.1,,alpha/beta-Hydrolases superfamily protein,SHADE>SUN,12.78354153,-0.603017249,0.648811663,-0.929418018,0.352672494,0.730526251
Norway spruce,,MA_10083496g0010,GO:0016798,AT5G13870.1,EXGT-A4,,,,,,,,
Scots pine ,PITA_000077568,MA_10083496g0010,GO:0016798,AT5G13870.1,EXGT-A4,,,,,,,,
Norway spruce,,MA_10090g0010,GO:0003871,AT5G17920.2,ATCIMS,,,,,,,,
Scots pine ,PITA_000003292,MA_10090g0010,GO:0003871,AT5G17920.2,ATCIMS,,,,,,,,
