Species,ID_pine,ID_spruce,GO,ID_Arabidopsis,Gene name,Gene function,Expression,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Scots pine,PITA_000009360,MA_10002614g0010,,AT3G63490.2,,Ribosomal protein L1p/L10e family,SHADE<SUN,367.7718516,1.10350267,0.12468979,8.849984181,8.75E-19,1.46E-16
Norway spruce,,MA_10002614g0010,,,,,SHADE>SUN,380.538731,-0.003083062,0.219537646,-0.01404343,0.988795332,0.998371724
Scots pine,PITA_000025448,MA_100087g0010,GO:0005618,AT5G23400.1,,Leucine-rich repeat (LRR) family protein,SHADE<SUN,52.20994097,1.365148191,0.374951066,3.640870277,2,
Norway spruce,,MA_100087g0010,,,,,SHADE>SUN,58.30638568,-0.077004187,0.243888535,-0.315735164,0.752203534,0.957036608
Scots pine,PITA_000032653,MA_100211g0010,GO:0005381,AT1G80830.1,ATNRAMP1,,,,,,,,
Norway spruce,,MA_100211g0010,,,,,SHADE>SUN,216.7239028,-0.929600579,0.632012819,-1.470857158,0.141329751,0.543107719
Scots pine,PITA_000000143,MA_100287g0010,,AT3G12770.1,MEF22,mitochondrial editing factor  22,SHADE>SUN,1,,,,,
Scots pine,PITA_000007679,MA_100287g0010,,AT3G12770.1,MEF22,mitochondrial editing factor  22,SHADE>SUN,355.9583103,2,,,,
Scots pine,PITA_000018582,MA_100287g0010,,AT3G12770.1,MEF22,mitochondrial editing factor  22,SHADE<SUN,200.7628601,1.103478534,0.250207231,4.410258359,1,
Scots pine,PITA_000019588,MA_100287g0010,,AT3G12770.1,MEF22,mitochondrial editing factor  22,SHADE>SUN,161.3155397,1,,,,
Scots pine,PITA_000019713,MA_100287g0010,,AT3G12770.1,MEF22,mitochondrial editing factor  22,SHADE<SUN,135.2564876,0.830302243,0.210597472,3.94260309,8,
Scots pine,PITA_000025951,MA_100287g0010,,AT3G12770.1,MEF22,mitochondrial editing factor  22,SHADE<SUN,231.9698945,1.512747532,0.330931749,4.571176791,4.85E-06,1
Scots pine,PITA_000027584,MA_100287g0010,,AT3G12770.1,MEF22,mitochondrial editing factor  22,SHADE<SUN,194.1624495,0.768594921,0.17456879,4.402819783,1,
Scots pine,PITA_000031699,MA_100287g0010,,AT3G12770.1,MEF22,mitochondrial editing factor  22,SHADE<SUN,226.3637415,0.663002666,0.17542675,3.77937041,1,
Scots pine,PITA_000037834,MA_100287g0010,,AT3G12770.1,MEF22,mitochondrial editing factor  22,SHADE<SUN,238.4242775,1.170660246,0.27307087,4.287019869,1.81E-05,3
Scots pine,PITA_000039666,MA_100287g0010,,AT3G12770.1,MEF22,mitochondrial editing factor  22,SHADE<SUN,78.21960229,0.722165673,0.217240971,3.324260933,8,
Scots pine,PITA_000064345,MA_100287g0010,,AT3G12770.1,MEF22,mitochondrial editing factor  22,SHADE<SUN,140.9834245,1.239877698,0.331217101,3.743398795,1,
Scots pine,PITA_000069379,MA_100287g0010,,AT3G12770.1,MEF22,mitochondrial editing factor  22,SHADE<SUN,198.5314538,0.78884995,0.208593056,3.781765146,1,
Scots pine,PITA_000074705,MA_100287g0010,GO:0080156,AT3G12770.1,MEF22,mitochondrial editing factor  22,SHADE<SUN,217.1966754,1.291230281,0.266353499,4.847806713,1.25E-06,3.42E-05
Norway spruce,,MA_100287g0010,,,,,SHADE<SUN,472.8054488,0.1625209,0.232898307,0.697819157,0.485290297,0.872058777
Scots pine,PITA_000072886,MA_10032819g0010,,AT4G02750.1,,Tetratricopeptide repeat (TPR)-like superfamily protein,SHADE<SUN,123.6651011,2.253177001,0.471563122,4.778102649,1.77E-06,4.70E-05
Norway spruce,,MA_10032819g0010,,,,,SHADE<SUN,133.2848507,0.967144286,0.740162785,1.306664298,0.191326749,0.629841047
Scots pine,PITA_000092341,MA_100374g0010,GO:0009826,AT2G20370.1,KAM1,,,,,,,,
Norway spruce,,MA_100374g0010,,,,,SHADE<SUN,115.8623432,0.158979961,0.48534025,0.327563932,0.743241396,0.954557228
Scots pine,PITA_000003632,MA_10050138g0010,,AT2G32230.1,PRORP1,proteinaceous RNase P 1,SHADE<SUN,460.5179433,1.592893309,0.274301869,5.807081497,6.36E-09,2.56E-07
Norway spruce,,MA_10050138g0010,,,,,SHADE>SUN,209.7351177,-0.164520958,0.239676833,-0.686428289,0.492443071,0.875336947
Scots pine,PITA_000093955,MA_10055697g0010,GO:0004497,AT4G31940.1,CYP82C4,cytochrome P450,,,,,,,
Norway spruce,,MA_10055697g0010,,,,,SHADE>SUN,143.4569092,-0.184776522,0.541195286,-0.341423007,0.732785157,0.951420334
Scots pine,PITA_000005665,MA_100612g0010,,AT5G15280.1,,Pentatricopeptide repeat (PPR) superfamily protein,SHADE<SUN,137.9206434,0.868344434,0.152630465,5.689194703,1.28E-08,4.95E-07
